"data.id","left.size","left.stride.lt.mu","left.stride.lt.sd","left.stride.wt.mu","left.stride.wt.sd","left.stride.t.mu","left.stride.t.sd","right.size","right.stride.lt.mu","right.stride.lt.sd","right.stride.wt.mu","right.stride.wt.sd","right.stride.t.mu","right.stride.t.sd","start.leg","left.start.lt","left.start.t","right.start.lt","right.start.t","velocity","left.velocity","right.velocity","cadence","left.cadence","right.cadence","turn.t","turn.side","left.turn.t","right.turn.t"
"total",3,1399.05333333333,210.39154791325,92.0275,40.9420511180131,1550,84.0416563377948,4,1291.63,753.0862604421,127.393725,21.6278660922084,1497,788.991761680691,"-",-1,-1,-1,-1,0.880210565895845,0.902615053763441,0.862812291249165,39.4811054709532,38.7096774193548,40.0801603206413,770,"left",770,-1
"2001-01-01-1-1",3,1399.05333333333,210.39154791325,92.0275,40.9420511180131,1550,84.0416563377948,4,1291.63,753.0862604421,127.393725,21.6278660922084,1497,788.991761680691,"-",-1,-1,-1,-1,0.880210565895845,0.902615053763441,0.862812291249165,39.4811054709532,38.7096774193548,40.0801603206413,770,"left",770,-1
