"lt","wt","t","data.id"
1286.08,86.2654,1605,"2001-01-01-1-1"
1459.12,132.0676,1572,"2001-01-01-1-1"
420.660000000001,153.884,569,"2001-01-01-1-1"
2312.48,21.396,2509,"2001-01-01-1-1"
