"time","left.y","left.x","left.dt","right.y","right.x","right.dt","x.mid","dt.mid"
3431,939.837,-9.92667,2337.68,908.023,-78.6119,1860.32,-44.269285,2099
3464,943.151,-9.96168,2345.93,908.742,-77.3388,1861.79,-43.65024,2103.86
3498,944.924,-9.9804,2350.33,911.608,-77.5827,1867.67,-43.78155,2109
3531,950.419,-10.1288,2385.28,926.519,-77.0405,1854.61,-43.58465,2119.945
3565,961.599,-1.57968,2391.81,909.506,-77.9767,1877.15,-39.77819,2134.48
3598,949.466,-1.55975,2361.63,892.607,-80.3466,1901.37,-40.953175,2131.5
3632,950.933,-1.57622,2386.57,890.365,-78.7846,1896.6,-40.18041,2141.585
3664,939.023,-10.0073,2356.68,875.977,-80.8254,1912.7,-45.41635,2134.69
3698,0,0,0,0,0,0,0,0
3731,922.25,-18.3264,2339.85,824.199,-92.5104,2050.05,-55.4184,2194.95
3766,924.697,-9.94415,2341.8,793.596,-94.0129,2050.76,-51.978525,2196.28
3800,964.033,-10.2924,2423.81,780.011,-96.1455,2097.28,-53.21895,2260.545
3832,957.336,-10.3139,2428.87,785.562,-95.3149,2112.2,-52.8144,2270.535
3865,964.403,-10.39,2446.8,796.724,-97.6103,2163.07,-54.00015,2304.935
3898,968.647,-1.62016,2453.1,826.217,-101.841,2221.51,-51.73058,2337.305
3933,980.829,-10.4529,2461.6,856.498,-103.576,2259.37,-57.01445,2360.485
3965,974.368,-10.4974,2472.08,903.234,-107.001,2334.07,-58.7492,2403.075
3998,977.684,-1.63825,2480.49,923.513,-119.065,2408.8,-60.351625,2444.645
4032,981.585,-10.5751,2490.39,925.759,-124.234,2513.39,-67.40455,2501.89
4066,984.973,-10.6116,2498.99,933.904,-128.07,2591,-69.3408,2544.995
4100,977.7,-1.65332,2503.31,940.722,-130.302,2636.14,-65.97766,2569.725
4133,988.652,-10.6513,2508.32,926.61,-134.003,2711.02,-72.32715,2609.67
4167,989.749,-10.6631,2511.1,937.687,-127.1,2772.51,-68.88155,2641.805
4200,990.891,-10.6754,2514,942.863,-129.172,2817.69,-69.9237,2665.845
4234,991.85,-19.7094,2516.43,973.577,-133.666,2915.73,-76.6877,2716.08
4266,1002.96,-19.7506,2521.69,978.006,-135.074,2993.28,-77.4123,2757.485
4300,996.092,-19.7937,2527.2,972.405,-127.159,3009.17,-73.47635,2768.185
4334,998.766,-19.8469,2533.98,971.392,-128.452,3039.76,-74.14945,2786.87
4367,1003.32,-19.9373,2545.52,961.683,-126.716,3050.46,-73.32665,2797.99
4401,963.405,-20.0949,2565.64,998.844,-128.399,3090.98,-74.24695,2828.31
4435,990.878,-21.0704,2690.19,977.048,-128.74,3099.2,-74.9052,2894.695
4467,923.976,7.65156,2615.5,982.137,-129.411,3115.34,-60.87972,2865.42
4502,896.262,19.1559,2650.03,986.354,-129.967,3128.71,-55.40555,2889.37
4535,887.806,28.7542,2658.85,966.779,-130.353,3138.01,-50.7994,2898.43
4568,867.252,40.0702,2782.57,969.798,-130.76,3147.81,-45.3449,2965.19
4603,866.182,40.4865,2811.49,972.543,-131.13,3156.72,-45.32175,2984.105
4634,0,0,0,0,0,0,0,0
4668,0,0,0,0,0,0,0,0
4701,899.725,19.9053,2753.69,980.91,-132.258,3183.87,-56.17635,2968.78
4735,0,0,0,0,0,0,0,0
4769,897.72,21.063,2913.85,983.871,-132.657,3193.48,-55.797,3053.665
4802,912.079,-1.97827,2995.32,985.692,-132.903,3199.4,-67.440635,3097.36
4836,935.445,-2.02895,3072.06,988.165,-133.236,3207.42,-67.632475,3139.74
4870,939.254,-13.286,3128.78,990.038,-133.489,3213.5,-73.3875,3171.14
4903,957.57,-24.9834,3189.8,981.725,-133.927,3224.04,-79.4552,3206.92
4936,964.567,-25.4702,3251.95,983.104,-134.115,3228.57,-79.7926,3240.26
4970,969.402,-37.7742,3308.24,996.128,-134.31,3233.27,-86.0421,3270.755
